id,content_type_id,codename,name
1,1,add_logentry,Can add log entry
2,1,change_logentry,Can change log entry
3,1,delete_logentry,Can delete log entry
4,1,view_logentry,Can view log entry
5,2,add_permission,Can add permission
6,2,change_permission,Can change permission
7,2,delete_permission,Can delete permission
8,2,view_permission,Can view permission
9,3,add_group,Can add group
10,3,change_group,Can change group
11,3,delete_group,Can delete group
12,3,view_group,Can view group
13,4,add_user,Can add user
14,4,change_user,Can change user
15,4,delete_user,Can delete user
16,4,view_user,Can view user
17,5,add_contenttype,Can add content type
18,5,change_contenttype,Can change content type
19,5,delete_contenttype,Can delete content type
20,5,view_contenttype,Can view content type
21,6,add_session,Can add session
22,6,change_session,Can change session
23,6,delete_session,Can delete session
24,6,view_session,Can view session
25,7,add_categoria,Can add categoria
26,7,change_categoria,Can change categoria
27,7,delete_categoria,Can delete categoria
28,7,view_categoria,Can view categoria
29,8,add_producto,Can add producto
30,8,change_producto,Can change producto
31,8,delete_producto,Can delete producto
32,8,view_producto,Can view producto
33,9,add_theme,Can add Theme
34,9,change_theme,Can change Theme
35,9,delete_theme,Can delete Theme
36,9,view_theme,Can view Theme
37,10,add_captchastore,Can add captcha store
38,10,change_captchastore,Can change captcha store
39,10,delete_captchastore,Can delete captcha store
40,10,view_captchastore,Can view captcha store
